MovementType,Mean,Lower,Upper
TT,0.4666666666666668,0.05626436781609202,0.9046264367816089
DD,0.6333333333333333,0.033333333333333645,1.2674999999999994
UW,0.10000000000000009,-0.3999999999999999,0.6000000000000001
UT,-0.35057471264367823,-0.8529022988505747,0.1586494252873564
DT,0.1333333333333333,-0.3341666666666668,0.6333333333333333
WT,0.10000000000000009,-0.3999999999999999,0.6008333333333327
DW,-0.2666666666666666,-0.6333333333333333,0.1333333333333333
WW,-0.20000000000000018,-0.7333333333333334,0.3333333333333335
DU,-0.16666666666666652,-0.5333333333333337,0.2333333333333334
UU,0.10000000000000009,-0.43333333333333357,0.6333333333333333
